,Year,Location,Number of Households,Tenure,Housing Characteristics
3208,2021,"Outside census metropolitan areas and census agglomerations, Ontario",8100,First-time homebuyer,Dwelling satisfaction rating of 6 or 7
3209,2022,"Outside census metropolitan areas and census agglomerations, Ontario",9000,First-time homebuyer,Dwelling satisfaction rating of 6 or 7
3210,2021,"Outside census metropolitan areas and census agglomerations, Ontario",40100,First-time homebuyer,"Dwelling satisfaction rating of 8, 9 or 10"
3211,2022,"Outside census metropolitan areas and census agglomerations, Ontario",14300,First-time homebuyer,"Dwelling satisfaction rating of 8, 9 or 10"
3214,2021,"Outside census metropolitan areas and census agglomerations, Ontario",5100,First-time homebuyer,Neighbourhood satisfaction rating between 0 and 5
3215,2022,"Outside census metropolitan areas and census agglomerations, Ontario",3200,First-time homebuyer,Neighbourhood satisfaction rating between 0 and 5
3216,2021,"Outside census metropolitan areas and census agglomerations, Ontario",5600,First-time homebuyer,Neighbourhood satisfaction rating of 6 or 7
3217,2022,"Outside census metropolitan areas and census agglomerations, Ontario",500,First-time homebuyer,Neighbourhood satisfaction rating of 6 or 7
3218,2021,"Outside census metropolitan areas and census agglomerations, Ontario",41100,First-time homebuyer,"Neighbourhood satisfaction rating of 8, 9 or 10"
3219,2022,"Outside census metropolitan areas and census agglomerations, Ontario",22900,First-time homebuyer,"Neighbourhood satisfaction rating of 8, 9 or 10"
3221,2021,"Outside census metropolitan areas and census agglomerations, Ontario",500,First-time homebuyer,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government"
3222,2022,"Outside census metropolitan areas and census agglomerations, Ontario",2000,First-time homebuyer,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government"
3224,2021,"Outside census metropolitan areas and census agglomerations, Ontario",0,First-time homebuyer,Moved due to a natural disaster or fire
3225,2022,"Outside census metropolitan areas and census agglomerations, Ontario",0,First-time homebuyer,Moved due to a natural disaster or fire
3227,2021,"Outside census metropolitan areas and census agglomerations, Ontario",4100,First-time homebuyer,Moved for a new job or job transfer
3228,2022,"Outside census metropolitan areas and census agglomerations, Ontario",300,First-time homebuyer,Moved for a new job or job transfer
3230,2021,"Outside census metropolitan areas and census agglomerations, Ontario",0,First-time homebuyer,Moved for a new school
3231,2022,"Outside census metropolitan areas and census agglomerations, Ontario",100,First-time homebuyer,Moved for a new school
3233,2021,"Outside census metropolitan areas and census agglomerations, Ontario",13600,First-time homebuyer,Moved to form own household
3234,2022,"Outside census metropolitan areas and census agglomerations, Ontario",800,First-time homebuyer,Moved to form own household
3236,2021,"Outside census metropolitan areas and census agglomerations, Ontario",1600,First-time homebuyer,Moved to be closer to family
3237,2022,"Outside census metropolitan areas and census agglomerations, Ontario",5200,First-time homebuyer,Moved to be closer to family
3239,2021,"Outside census metropolitan areas and census agglomerations, Ontario",7600,First-time homebuyer,Moved because of a change in household or family size
3240,2022,"Outside census metropolitan areas and census agglomerations, Ontario",100,First-time homebuyer,Moved because of a change in household or family size
3242,2021,"Outside census metropolitan areas and census agglomerations, Ontario",5300,First-time homebuyer,Moved to reduce commuting time
3243,2022,"Outside census metropolitan areas and census agglomerations, Ontario",2400,First-time homebuyer,Moved to reduce commuting time
3245,2021,"Outside census metropolitan areas and census agglomerations, Ontario",20400,First-time homebuyer,Moved to upgrade to a larger dwelling or better quality dwelling
3246,2022,"Outside census metropolitan areas and census agglomerations, Ontario",5700,First-time homebuyer,Moved to upgrade to a larger dwelling or better quality dwelling
3248,2021,"Outside census metropolitan areas and census agglomerations, Ontario",1200,First-time homebuyer,Moved to reduce housing costs
3249,2022,"Outside census metropolitan areas and census agglomerations, Ontario",200,First-time homebuyer,Moved to reduce housing costs
3251,2021,"Outside census metropolitan areas and census agglomerations, Ontario",4400,First-time homebuyer,Moved to be in a more desirable neighbourhood
3252,2022,"Outside census metropolitan areas and census agglomerations, Ontario",2800,First-time homebuyer,Moved to be in a more desirable neighbourhood
3254,2021,"Outside census metropolitan areas and census agglomerations, Ontario",1600,First-time homebuyer,Moved for personal health reasons
3255,2022,"Outside census metropolitan areas and census agglomerations, Ontario",0,First-time homebuyer,Moved for personal health reasons
3257,2021,"Outside census metropolitan areas and census agglomerations, Ontario",27700,First-time homebuyer,Moved to become a homeowner
3258,2022,"Outside census metropolitan areas and census agglomerations, Ontario",18100,First-time homebuyer,Moved to become a homeowner
3259,2021,"Outside census metropolitan areas and census agglomerations, Ontario",200,First-time homebuyer,Moved due to issues with previous landlord or other tenants
3260,2022,"Outside census metropolitan areas and census agglomerations, Ontario",2700,First-time homebuyer,Moved due to issues with previous landlord or other tenants
3262,2021,"Outside census metropolitan areas and census agglomerations, Ontario",0,First-time homebuyer,Moved for another reason
3263,2022,"Outside census metropolitan areas and census agglomerations, Ontario",800,First-time homebuyer,Moved for another reason
3268,2021,"Outside census metropolitan areas and census agglomerations, Ontario",404800,Repeat homebuyer,Single-detached house
3269,2022,"Outside census metropolitan areas and census agglomerations, Ontario",388100,Repeat homebuyer,Single-detached house
3271,2021,"Outside census metropolitan areas and census agglomerations, Ontario",9900,Repeat homebuyer,Semi-detached house
3272,2022,"Outside census metropolitan areas and census agglomerations, Ontario",3000,Repeat homebuyer,Semi-detached house
3274,2021,"Outside census metropolitan areas and census agglomerations, Ontario",5700,Repeat homebuyer,Row house
3275,2022,"Outside census metropolitan areas and census agglomerations, Ontario",2200,Repeat homebuyer,Row house
3277,2021,"Outside census metropolitan areas and census agglomerations, Ontario",1400,Repeat homebuyer,Apartment or flat in a duplex
3278,2022,"Outside census metropolitan areas and census agglomerations, Ontario",6600,Repeat homebuyer,Apartment or flat in a duplex
3280,2021,"Outside census metropolitan areas and census agglomerations, Ontario",300,Repeat homebuyer,Apartment in a building that has five or more storeys
3281,2022,"Outside census metropolitan areas and census agglomerations, Ontario",100,Repeat homebuyer,Apartment in a building that has five or more storeys
3283,2021,"Outside census metropolitan areas and census agglomerations, Ontario",6300,Repeat homebuyer,Apartment in a building that has fewer than five storeys
3284,2022,"Outside census metropolitan areas and census agglomerations, Ontario",9400,Repeat homebuyer,Apartment in a building that has fewer than five storeys
3286,2021,"Outside census metropolitan areas and census agglomerations, Ontario",2000,Repeat homebuyer,Other single-attached house
3287,2022,"Outside census metropolitan areas and census agglomerations, Ontario",800,Repeat homebuyer,Other single-attached house
3289,2021,"Outside census metropolitan areas and census agglomerations, Ontario",1200,Repeat homebuyer,Movable dwelling
3290,2022,"Outside census metropolitan areas and census agglomerations, Ontario",9800,Repeat homebuyer,Movable dwelling
3295,2021,"Outside census metropolitan areas and census agglomerations, Ontario",10700,Repeat homebuyer,Condominium
3296,2022,"Outside census metropolitan areas and census agglomerations, Ontario",8200,Repeat homebuyer,Condominium
3298,2021,"Outside census metropolitan areas and census agglomerations, Ontario",420900,Repeat homebuyer,Not condominium
3299,2022,"Outside census metropolitan areas and census agglomerations, Ontario",411800,Repeat homebuyer,Not condominium
3302,2021,"Outside census metropolitan areas and census agglomerations, Ontario",34800,Repeat homebuyer,Dwelling satisfaction rating between 0 and 5
3303,2022,"Outside census metropolitan areas and census agglomerations, Ontario",44200,Repeat homebuyer,Dwelling satisfaction rating between 0 and 5
3304,2021,"Outside census metropolitan areas and census agglomerations, Ontario",69700,Repeat homebuyer,Dwelling satisfaction rating of 6 or 7
3305,2022,"Outside census metropolitan areas and census agglomerations, Ontario",68200,Repeat homebuyer,Dwelling satisfaction rating of 6 or 7
3306,2021,"Outside census metropolitan areas and census agglomerations, Ontario",327100,Repeat homebuyer,"Dwelling satisfaction rating of 8, 9 or 10"
3307,2022,"Outside census metropolitan areas and census agglomerations, Ontario",307600,Repeat homebuyer,"Dwelling satisfaction rating of 8, 9 or 10"
3310,2021,"Outside census metropolitan areas and census agglomerations, Ontario",27700,Repeat homebuyer,Neighbourhood satisfaction rating between 0 and 5
3311,2022,"Outside census metropolitan areas and census agglomerations, Ontario",34400,Repeat homebuyer,Neighbourhood satisfaction rating between 0 and 5
3312,2021,"Outside census metropolitan areas and census agglomerations, Ontario",37500,Repeat homebuyer,Neighbourhood satisfaction rating of 6 or 7
3313,2022,"Outside census metropolitan areas and census agglomerations, Ontario",34400,Repeat homebuyer,Neighbourhood satisfaction rating of 6 or 7
3314,2021,"Outside census metropolitan areas and census agglomerations, Ontario",366400,Repeat homebuyer,"Neighbourhood satisfaction rating of 8, 9 or 10"
3315,2022,"Outside census metropolitan areas and census agglomerations, Ontario",351100,Repeat homebuyer,"Neighbourhood satisfaction rating of 8, 9 or 10"
3317,2021,"Outside census metropolitan areas and census agglomerations, Ontario",12200,Repeat homebuyer,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government"
3318,2022,"Outside census metropolitan areas and census agglomerations, Ontario",400,Repeat homebuyer,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government"
3320,2021,"Outside census metropolitan areas and census agglomerations, Ontario",0,Repeat homebuyer,Moved due to a natural disaster or fire
3321,2022,"Outside census metropolitan areas and census agglomerations, Ontario",2000,Repeat homebuyer,Moved due to a natural disaster or fire
3323,2021,"Outside census metropolitan areas and census agglomerations, Ontario",38000,Repeat homebuyer,Moved for a new job or job transfer
3324,2022,"Outside census metropolitan areas and census agglomerations, Ontario",28900,Repeat homebuyer,Moved for a new job or job transfer
3326,2021,"Outside census metropolitan areas and census agglomerations, Ontario",2400,Repeat homebuyer,Moved for a new school
3327,2022,"Outside census metropolitan areas and census agglomerations, Ontario",3700,Repeat homebuyer,Moved for a new school
3329,2021,"Outside census metropolitan areas and census agglomerations, Ontario",42500,Repeat homebuyer,Moved to form own household
3330,2022,"Outside census metropolitan areas and census agglomerations, Ontario",30800,Repeat homebuyer,Moved to form own household
3332,2021,"Outside census metropolitan areas and census agglomerations, Ontario",44200,Repeat homebuyer,Moved to be closer to family
3333,2022,"Outside census metropolitan areas and census agglomerations, Ontario",34100,Repeat homebuyer,Moved to be closer to family
3335,2021,"Outside census metropolitan areas and census agglomerations, Ontario",60300,Repeat homebuyer,Moved because of a change in household or family size
3336,2022,"Outside census metropolitan areas and census agglomerations, Ontario",55500,Repeat homebuyer,Moved because of a change in household or family size
3338,2021,"Outside census metropolitan areas and census agglomerations, Ontario",10800,Repeat homebuyer,Moved to reduce commuting time
3339,2022,"Outside census metropolitan areas and census agglomerations, Ontario",6300,Repeat homebuyer,Moved to reduce commuting time
3341,2021,"Outside census metropolitan areas and census agglomerations, Ontario",107100,Repeat homebuyer,Moved to upgrade to a larger dwelling or better quality dwelling
3342,2022,"Outside census metropolitan areas and census agglomerations, Ontario",85600,Repeat homebuyer,Moved to upgrade to a larger dwelling or better quality dwelling
3344,2021,"Outside census metropolitan areas and census agglomerations, Ontario",61900,Repeat homebuyer,Moved to reduce housing costs
3345,2022,"Outside census metropolitan areas and census agglomerations, Ontario",37300,Repeat homebuyer,Moved to reduce housing costs
3347,2021,"Outside census metropolitan areas and census agglomerations, Ontario",79800,Repeat homebuyer,Moved to be in a more desirable neighbourhood
